,lenght,time_enc,time_dec
3,41,997543.3349609375,997066.4978027344
4,41,996351.2420654297,997543.3349609375
9,41,996589.6606445312,996828.0792236328
13,41,995635.986328125,998020.1721191406
18,50,998258.5906982422,997304.9163818359
19,50,997304.9163818359,997304.9163818359
20,50,996589.6606445312,997066.4978027344
24,50,997543.3349609375,997066.4978027344
31,88,996828.0792236328,997066.4978027344
59,87,997304.9163818359,997304.9163818359
66,25,997304.9163818359,997066.4978027344
67,25,997781.7535400391,997781.7535400391
71,38,998258.5906982422,996112.8234863281
76,38,997543.3349609375,997304.9163818359
79,38,997066.4978027344,996589.6606445312
83,45,996351.2420654297,997304.9163818359
88,45,996828.0792236328,998973.8464355469
89,45,997543.3349609375,996112.8234863281
97,4,997304.9163818359,996828.0792236328
98,4,997543.3349609375,997304.9163818359
110,84,997304.9163818359,996828.0792236328
111,84,998020.1721191406,997304.9163818359
112,84,996828.0792236328,997781.7535400391
118,84,997066.4978027344,996828.0792236328
122,46,997066.4978027344,997304.9163818359
127,46,996828.0792236328,997066.4978027344
128,46,997066.4978027344,997304.9163818359
131,46,997304.9163818359,996828.0792236328
132,46,999450.68359375,998020.1721191406
143,11,997304.9163818359,997304.9163818359
153,3,998497.0092773438,997066.4978027344
154,3,997781.7535400391,998258.5906982422
165,3,995159.1491699219,997304.9163818359
171,35,996828.0792236328,992536.5447998047
179,39,997781.7535400391,998258.5906982422
180,39,998735.4278564453,996828.0792236328
185,39,997543.3349609375,997066.4978027344
186,39,996828.0792236328,997543.3349609375
189,42,997066.4978027344,998258.5906982422
192,90,997543.3349609375,997304.9163818359
193,40,997304.9163818359,997781.7535400391
196,40,996828.0792236328,997066.4978027344
200,44,997304.9163818359,997066.4978027344
203,3,997543.3349609375,997543.3349609375
204,3,997066.4978027344,997543.3349609375
207,3,997543.3349609375,997543.3349609375
214,3,997304.9163818359,997543.3349609375
218,33,997304.9163818359,997066.4978027344
219,84,997066.4978027344,997543.3349609375
236,78,997066.4978027344,995159.1491699219
240,78,998258.5906982422,997304.9163818359
243,78,997304.9163818359,996589.6606445312
246,78,998020.1721191406,997066.4978027344
265,35,997066.4978027344,997304.9163818359
268,76,996828.0792236328,997304.9163818359
271,44,997066.4978027344,997781.7535400391
274,44,997543.3349609375,997543.3349609375
277,44,997543.3349609375,997066.4978027344
281,44,997304.9163818359,997066.4978027344
300,75,997066.4978027344,997066.4978027344
304,75,997066.4978027344,994920.7305908203
308,97,997543.3349609375,997066.4978027344
313,36,998735.4278564453,997304.9163818359
320,26,998020.1721191406,996828.0792236328
321,26,998020.1721191406,997543.3349609375
345,43,997781.7535400391,997781.7535400391
353,92,997066.4978027344,997781.7535400391
356,92,997543.3349609375,997304.9163818359
363,100,997066.4978027344,996351.2420654297
364,100,997066.4978027344,997543.3349609375
371,68,997304.9163818359,996589.6606445312
374,68,997543.3349609375,997781.7535400391
375,68,997304.9163818359,999689.1021728516
378,100,996828.0792236328,998258.5906982422
382,34,997304.9163818359,997066.4978027344
386,20,997066.4978027344,996828.0792236328
390,20,997304.9163818359,997066.4978027344
393,95,996828.0792236328,997066.4978027344
404,75,991106.0333251953,997543.3349609375
407,75,997781.7535400391,997066.4978027344
411,38,998020.1721191406,997304.9163818359
412,38,997066.4978027344,997304.9163818359
416,95,996828.0792236328,997066.4978027344
418,95,997781.7535400391,997304.9163818359
422,95,996589.6606445312,998735.4278564453
424,95,998735.4278564453,997066.4978027344
429,83,997304.9163818359,899076.4617919922
443,49,998020.1721191406,997304.9163818359
444,49,998258.5906982422,997066.4978027344
457,58,997543.3349609375,998258.5906982422
463,38,997066.4978027344,997781.7535400391
464,38,997304.9163818359,997543.3349609375
473,38,997066.4978027344,997543.3349609375
479,41,997543.3349609375,994205.4748535156
485,97,933647.1557617188,996828.0792236328
486,97,996828.0792236328,997543.3349609375
